,train_ACC,train_F1,train_Recall,train_Pre,train_MCC,val_ACC,val_F1,val_Recall,val_Pre,val_MCC,test_ACC,test_F1,test_Recall,test_Pre,test_MCC
n_estimators200 max_depth8 min_samples_leaf1 min_samples_split3 bootstrapFalse,0.9902 (0.00042),0.9901 (0.00043),0.9863 (0.00088),0.9940 (0.00024),0.9804 (0.00084),0.9683 (0.00098),0.9683 (0.00098),0.9678 (0.00097),0.9687 (0.00121),0.9366 (0.00197),0.9676 (0.00105),0.9675 (0.00109),0.9647 (0.00244),0.9704 (0.00127),0.9353 (0.00210)
n_estimators200 max_depth8 min_samples_leaf1 min_samples_split3 bootstrapTrue,0.9875 (0.00073),0.9874 (0.00073),0.9842 (0.00093),0.9907 (0.00096),0.9749 (0.00145),0.9695 (0.00104),0.9695 (0.00102),0.9693 (0.00118),0.9696 (0.00202),0.9389 (0.00207),0.9672 (0.00071),0.9671 (0.00072),0.9640 (0.00150),0.9702 (0.00137),0.9344 (0.00142)
n_estimators200 max_depth8 min_samples_leaf1 min_samples_split5 bootstrapFalse,0.9901 (0.00025),0.9901 (0.00026),0.9867 (0.00037),0.9935 (0.00014),0.9802 (0.00051),0.9692 (0.00092),0.9692 (0.00091),0.9694 (0.00074),0.9690 (0.00126),0.9383 (0.00184),0.9678 (0.00049),0.9677 (0.00051),0.9659 (0.00183),0.9696 (0.00146),0.9356 (0.00097)
n_estimators200 max_depth8 min_samples_leaf1 min_samples_split5 bootstrapTrue,0.9866 (0.00072),0.9865 (0.00072),0.9838 (0.00101),0.9893 (0.00094),0.9731 (0.00144),0.9690 (0.00114),0.9690 (0.00113),0.9690 (0.00120),0.9690 (0.00164),0.9380 (0.00229),0.9670 (0.00064),0.9669 (0.00064),0.9642 (0.00167),0.9697 (0.00163),0.9341 (0.00128)
n_estimators200 max_depth8 min_samples_leaf2 min_samples_split2 bootstrapFalse,0.9895 (0.00056),0.9895 (0.00057),0.9861 (0.00120),0.9929 (0.00014),0.9791 (0.00112),0.9687 (0.00064),0.9687 (0.00063),0.9688 (0.00028),0.9686 (0.00109),0.9374 (0.00129),0.9677 (0.00049),0.9676 (0.00055),0.9645 (0.00281),0.9708 (0.00194),0.9355 (0.00097)
n_estimators200 max_depth8 min_samples_leaf2 min_samples_split2 bootstrapTrue,0.9859 (0.00077),0.9859 (0.00077),0.9836 (0.00089),0.9882 (0.00110),0.9718 (0.00154),0.9691 (0.00109),0.9691 (0.00108),0.9692 (0.00130),0.9691 (0.00161),0.9382 (0.00218),0.9671 (0.00067),0.9670 (0.00067),0.9643 (0.00165),0.9697 (0.00167),0.9342 (0.00134)
n_estimators200 max_depth8 min_samples_leaf2 min_samples_split3 bootstrapFalse,0.9895 (0.00056),0.9895 (0.00057),0.9861 (0.00120),0.9929 (0.00014),0.9791 (0.00112),0.9687 (0.00064),0.9687 (0.00063),0.9688 (0.00028),0.9686 (0.00109),0.9374 (0.00129),0.9677 (0.00049),0.9676 (0.00055),0.9645 (0.00281),0.9708 (0.00194),0.9355 (0.00097)
n_estimators200 max_depth8 min_samples_leaf2 min_samples_split3 bootstrapTrue,0.9860 (0.00076),0.9859 (0.00076),0.9836 (0.00099),0.9883 (0.00086),0.9719 (0.00152),0.9691 (0.00102),0.9691 (0.00101),0.9691 (0.00146),0.9692 (0.00167),0.9383 (0.00203),0.9671 (0.00087),0.9670 (0.00088),0.9644 (0.00188),0.9697 (0.00142),0.9343 (0.00173)
n_estimators200 max_depth8 min_samples_leaf2 min_samples_split5 bootstrapFalse,0.9892 (0.00074),0.9891 (0.00075),0.9860 (0.00126),0.9923 (0.00051),0.9784 (0.00148),0.9696 (0.00049),0.9696 (0.00049),0.9694 (0.00056),0.9698 (0.00055),0.9391 (0.00097),0.9679 (0.00028),0.9678 (0.00030),0.9648 (0.00148),0.9708 (0.00127),0.9358 (0.00056)
n_estimators200 max_depth8 min_samples_leaf2 min_samples_split5 bootstrapTrue,0.9856 (0.00078),0.9856 (0.00079),0.9832 (0.00115),0.9879 (0.00088),0.9712 (0.00157),0.9691 (0.00101),0.9691 (0.00101),0.9694 (0.00115),0.9688 (0.00141),0.9382 (0.00202),0.9674 (0.00073),0.9673 (0.00074),0.9645 (0.00177),0.9701 (0.00159),0.9349 (0.00146)
n_estimators200 max_depth8 min_samples_leaf5 min_samples_split2 bootstrapFalse,0.9858 (0.00127),0.9858 (0.00127),0.9836 (0.00112),0.9879 (0.00162),0.9716 (0.00254),0.9682 (0.00139),0.9682 (0.00136),0.9684 (0.00049),0.9680 (0.00224),0.9364 (0.00277),0.9668 (0.00058),0.9667 (0.00059),0.9636 (0.00171),0.9698 (0.00136),0.9336 (0.00115)
n_estimators200 max_depth8 min_samples_leaf5 min_samples_split2 bootstrapTrue,0.9821 (0.00102),0.9821 (0.00102),0.9810 (0.00129),0.9832 (0.00131),0.9642 (0.00204),0.9683 (0.00101),0.9683 (0.00101),0.9687 (0.00140),0.9678 (0.00146),0.9365 (0.00202),0.9668 (0.00067),0.9667 (0.00068),0.9643 (0.00157),0.9691 (0.00142),0.9336 (0.00135)
n_estimators200 max_depth8 min_samples_leaf5 min_samples_split3 bootstrapFalse,0.9858 (0.00127),0.9858 (0.00127),0.9836 (0.00112),0.9879 (0.00162),0.9716 (0.00254),0.9682 (0.00139),0.9682 (0.00136),0.9684 (0.00049),0.9680 (0.00224),0.9364 (0.00277),0.9668 (0.00058),0.9667 (0.00059),0.9636 (0.00171),0.9698 (0.00136),0.9336 (0.00115)
n_estimators200 max_depth8 min_samples_leaf5 min_samples_split3 bootstrapTrue,0.9821 (0.00111),0.9821 (0.00111),0.9809 (0.00136),0.9832 (0.00141),0.9642 (0.00222),0.9682 (0.00105),0.9682 (0.00103),0.9685 (0.00105),0.9679 (0.00163),0.9364 (0.00209),0.9668 (0.00076),0.9667 (0.00077),0.9643 (0.00176),0.9691 (0.00136),0.9335 (0.00151)
n_estimators200 max_depth8 min_samples_leaf5 min_samples_split5 bootstrapFalse,0.9858 (0.00127),0.9858 (0.00127),0.9836 (0.00112),0.9879 (0.00162),0.9716 (0.00254),0.9682 (0.00139),0.9682 (0.00136),0.9684 (0.00049),0.9680 (0.00224),0.9364 (0.00277),0.9668 (0.00058),0.9667 (0.00059),0.9636 (0.00171),0.9698 (0.00136),0.9336 (0.00115)
n_estimators200 max_depth8 min_samples_leaf5 min_samples_split5 bootstrapTrue,0.9820 (0.00108),0.9820 (0.00108),0.9809 (0.00134),0.9831 (0.00130),0.9640 (0.00216),0.9687 (0.00110),0.9687 (0.00109),0.9689 (0.00123),0.9685 (0.00158),0.9373 (0.00221),0.9668 (0.00069),0.9667 (0.00068),0.9644 (0.00158),0.9690 (0.00185),0.9335 (0.00138)
n_estimators20 max_depth10 min_samples_leaf1 min_samples_split2 bootstrapFalse,0.9969 (0.00028),0.9969 (0.00028),0.9955 (0.00042),0.9983 (0.00051),0.9938 (0.00056),0.9670 (0.00143),0.9670 (0.00147),0.9684 (0.00296),0.9657 (0.00025),0.9340 (0.00287),0.9667 (0.00037),0.9667 (0.00040),0.9652 (0.00139),0.9682 (0.00064),0.9335 (0.00072)
n_estimators20 max_depth10 min_samples_leaf1 min_samples_split2 bootstrapTrue,0.9936 (0.00067),0.9936 (0.00067),0.9907 (0.00110),0.9966 (0.00072),0.9873 (0.00134),0.9684 (0.00130),0.9684 (0.00127),0.9686 (0.00250),0.9683 (0.00313),0.9369 (0.00259),0.9664 (0.00108),0.9663 (0.00108),0.9644 (0.00211),0.9683 (0.00204),0.9328 (0.00215)
n_estimators20 max_depth10 min_samples_leaf1 min_samples_split3 bootstrapFalse,0.9969 (0.00037),0.9969 (0.00036),0.9952 (0.00024),0.9985 (0.00088),0.9937 (0.00073),0.9674 (0.00074),0.9674 (0.00073),0.9688 (0.00197),0.9661 (0.00210),0.9348 (0.00149),0.9684 (0.00091),0.9683 (0.00090),0.9652 (0.00123),0.9715 (0.00166),0.9369 (0.00183)
n_estimators20 max_depth10 min_samples_leaf1 min_samples_split3 bootstrapTrue,0.9932 (0.00079),0.9931 (0.00079),0.9902 (0.00144),0.9961 (0.00096),0.9864 (0.00157),0.9674 (0.00125),0.9674 (0.00123),0.9676 (0.00214),0.9672 (0.00253),0.9348 (0.00249),0.9662 (0.00137),0.9661 (0.00135),0.9637 (0.00180),0.9686 (0.00273),0.9325 (0.00275)
n_estimators20 max_depth10 min_samples_leaf1 min_samples_split5 bootstrapFalse,0.9957 (0.00051),0.9957 (0.00051),0.9929 (0.00092),0.9985 (0.00065),0.9915 (0.00101),0.9685 (0.00147),0.9685 (0.00149),0.9682 (0.00240),0.9688 (0.00145),0.9370 (0.00293),0.9674 (0.00014),0.9673 (0.00013),0.9647 (0.00070),0.9700 (0.00084),0.9349 (0.00029)
n_estimators20 max_depth10 min_samples_leaf1 min_samples_split5 bootstrapTrue,0.9921 (0.00065),0.9921 (0.00065),0.9895 (0.00107),0.9946 (0.00096),0.9842 (0.00129),0.9685 (0.00182),0.9685 (0.00179),0.9692 (0.00218),0.9677 (0.00313),0.9369 (0.00363),0.9667 (0.00128),0.9666 (0.00128),0.9645 (0.00186),0.9688 (0.00181),0.9334 (0.00255)
n_estimators20 max_depth10 min_samples_leaf2 min_samples_split2 bootstrapFalse,0.9961 (0.00061),0.9961 (0.00061),0.9941 (0.00085),0.9981 (0.00037),0.9923 (0.00122),0.9696 (0.00152),0.9696 (0.00145),0.9706 (0.00123),0.9687 (0.00376),0.9392 (0.00303),0.9666 (0.00025),0.9666 (0.00025),0.9643 (0.00123),0.9688 (0.00120),0.9333 (0.00051)
n_estimators20 max_depth10 min_samples_leaf2 min_samples_split2 bootstrapTrue,0.9910 (0.00102),0.9910 (0.00103),0.9887 (0.00161),0.9933 (0.00119),0.9821 (0.00205),0.9680 (0.00166),0.9681 (0.00164),0.9689 (0.00285),0.9672 (0.00318),0.9361 (0.00332),0.9668 (0.00101),0.9667 (0.00100),0.9652 (0.00177),0.9682 (0.00218),0.9335 (0.00203)
n_estimators20 max_depth10 min_samples_leaf2 min_samples_split3 bootstrapFalse,0.9961 (0.00061),0.9961 (0.00061),0.9941 (0.00085),0.9981 (0.00037),0.9923 (0.00122),0.9696 (0.00152),0.9696 (0.00145),0.9706 (0.00123),0.9687 (0.00376),0.9392 (0.00303),0.9666 (0.00025),0.9666 (0.00025),0.9643 (0.00123),0.9688 (0.00120),0.9333 (0.00051)
n_estimators20 max_depth10 min_samples_leaf2 min_samples_split3 bootstrapTrue,0.9911 (0.00076),0.9911 (0.00077),0.9887 (0.00104),0.9934 (0.00113),0.9822 (0.00153),0.9682 (0.00149),0.9682 (0.00147),0.9687 (0.00195),0.9677 (0.00288),0.9363 (0.00298),0.9665 (0.00134),0.9664 (0.00133),0.9640 (0.00167),0.9689 (0.00212),0.9330 (0.00268)
n_estimators20 max_depth10 min_samples_leaf2 min_samples_split5 bootstrapFalse,0.9953 (0.00051),0.9953 (0.00051),0.9930 (0.00098),0.9976 (0.00088),0.9907 (0.00101),0.9693 (0.00049),0.9693 (0.00056),0.9700 (0.00313),0.9686 (0.00207),0.9386 (0.00099),0.9673 (0.00124),0.9673 (0.00117),0.9663 (0.00084),0.9683 (0.00315),0.9347 (0.00248)
n_estimators20 max_depth10 min_samples_leaf2 min_samples_split5 bootstrapTrue,0.9903 (0.00095),0.9903 (0.00095),0.9883 (0.00133),0.9923 (0.00115),0.9806 (0.00189),0.9677 (0.00159),0.9678 (0.00155),0.9689 (0.00210),0.9666 (0.00340),0.9354 (0.00318),0.9667 (0.00124),0.9666 (0.00124),0.9651 (0.00232),0.9682 (0.00227),0.9333 (0.00249)
n_estimators20 max_depth10 min_samples_leaf5 min_samples_split2 bootstrapFalse,0.9908 (0.00044),0.9907 (0.00045),0.9895 (0.00149),0.9920 (0.00077),0.9815 (0.00087),0.9683 (0.00092),0.9684 (0.00091),0.9708 (0.00212),0.9660 (0.00226),0.9366 (0.00184),0.9676 (0.00067),0.9676 (0.00072),0.9668 (0.00260),0.9683 (0.00147),0.9352 (0.00134)
n_estimators20 max_depth10 min_samples_leaf5 min_samples_split2 bootstrapTrue,0.9839 (0.00096),0.9839 (0.00096),0.9835 (0.00117),0.9843 (0.00137),0.9678 (0.00192),0.9679 (0.00163),0.9680 (0.00162),0.9695 (0.00236),0.9665 (0.00274),0.9359 (0.00326),0.9665 (0.00126),0.9665 (0.00128),0.9654 (0.00236),0.9676 (0.00196),0.9331 (0.00253)
n_estimators20 max_depth10 min_samples_leaf5 min_samples_split3 bootstrapFalse,0.9908 (0.00044),0.9907 (0.00045),0.9895 (0.00149),0.9920 (0.00077),0.9815 (0.00087),0.9683 (0.00092),0.9684 (0.00091),0.9708 (0.00212),0.9660 (0.00226),0.9366 (0.00184),0.9676 (0.00067),0.9676 (0.00072),0.9668 (0.00260),0.9683 (0.00147),0.9352 (0.00134)
n_estimators20 max_depth10 min_samples_leaf5 min_samples_split3 bootstrapTrue,0.9840 (0.00095),0.9840 (0.00095),0.9836 (0.00142),0.9843 (0.00120),0.9679 (0.00190),0.9676 (0.00157),0.9677 (0.00156),0.9698 (0.00251),0.9656 (0.00252),0.9353 (0.00314),0.9661 (0.00095),0.9661 (0.00096),0.9648 (0.00203),0.9674 (0.00173),0.9323 (0.00190)
n_estimators20 max_depth10 min_samples_leaf5 min_samples_split5 bootstrapFalse,0.9908 (0.00044),0.9907 (0.00045),0.9895 (0.00149),0.9920 (0.00077),0.9815 (0.00087),0.9683 (0.00092),0.9684 (0.00091),0.9708 (0.00212),0.9660 (0.00226),0.9366 (0.00184),0.9676 (0.00067),0.9676 (0.00072),0.9668 (0.00260),0.9683 (0.00147),0.9352 (0.00134)
n_estimators20 max_depth10 min_samples_leaf5 min_samples_split5 bootstrapTrue,0.9841 (0.00103),0.9841 (0.00103),0.9834 (0.00146),0.9847 (0.00124),0.9682 (0.00206),0.9674 (0.00149),0.9674 (0.00148),0.9695 (0.00239),0.9654 (0.00265),0.9347 (0.00298),0.9665 (0.00108),0.9664 (0.00108),0.9650 (0.00200),0.9678 (0.00200),0.9330 (0.00217)
n_estimators20 max_depth5 min_samples_leaf1 min_samples_split2 bootstrapFalse,0.9696 (0.00076),0.9693 (0.00083),0.9615 (0.00296),0.9773 (0.00152),0.9393 (0.00145),0.9610 (0.00101),0.9608 (0.00102),0.9543 (0.00141),0.9673 (0.00143),0.9221 (0.00203),0.9621 (0.00064),0.9618 (0.00063),0.9529 (0.00136),0.9708 (0.00179),0.9244 (0.00131)
n_estimators20 max_depth5 min_samples_leaf1 min_samples_split2 bootstrapTrue,0.9681 (0.00110),0.9679 (0.00111),0.9620 (0.00227),0.9738 (0.00197),0.9362 (0.00219),0.9619 (0.00191),0.9618 (0.00192),0.9580 (0.00293),0.9656 (0.00279),0.9239 (0.00383),0.9611 (0.00121),0.9607 (0.00120),0.9525 (0.00215),0.9691 (0.00268),0.9223 (0.00245)
n_estimators20 max_depth5 min_samples_leaf1 min_samples_split3 bootstrapFalse,0.9694 (0.00097),0.9692 (0.00103),0.9615 (0.00296),0.9770 (0.00115),0.9390 (0.00187),0.9608 (0.00113),0.9606 (0.00112),0.9541 (0.00129),0.9671 (0.00168),0.9217 (0.00226),0.9619 (0.00031),0.9615 (0.00032),0.9530 (0.00134),0.9702 (0.00121),0.9239 (0.00061)
n_estimators20 max_depth5 min_samples_leaf1 min_samples_split3 bootstrapTrue,0.9680 (0.00125),0.9678 (0.00127),0.9618 (0.00249),0.9738 (0.00194),0.9360 (0.00249),0.9619 (0.00180),0.9618 (0.00183),0.9582 (0.00342),0.9655 (0.00263),0.9239 (0.00360),0.9608 (0.00113),0.9605 (0.00114),0.9526 (0.00252),0.9685 (0.00244),0.9218 (0.00225)
n_estimators20 max_depth5 min_samples_leaf1 min_samples_split5 bootstrapFalse,0.9693 (0.00128),0.9691 (0.00134),0.9623 (0.00294),0.9760 (0.00097),0.9388 (0.00251),0.9608 (0.00074),0.9606 (0.00077),0.9547 (0.00169),0.9666 (0.00107),0.9217 (0.00147),0.9618 (0.00031),0.9614 (0.00031),0.9534 (0.00134),0.9697 (0.00130),0.9237 (0.00062)
n_estimators20 max_depth5 min_samples_leaf1 min_samples_split5 bootstrapTrue,0.9678 (0.00152),0.9676 (0.00153),0.9622 (0.00262),0.9732 (0.00257),0.9357 (0.00305),0.9617 (0.00177),0.9616 (0.00177),0.9580 (0.00293),0.9652 (0.00301),0.9235 (0.00354),0.9608 (0.00146),0.9605 (0.00146),0.9533 (0.00264),0.9677 (0.00291),0.9217 (0.00293)
n_estimators20 max_depth5 min_samples_leaf2 min_samples_split2 bootstrapFalse,0.9695 (0.00162),0.9693 (0.00165),0.9621 (0.00211),0.9766 (0.00141),0.9392 (0.00323),0.9615 (0.00088),0.9613 (0.00086),0.9554 (0.00028),0.9672 (0.00154),0.9231 (0.00177),0.9625 (0.00025),0.9622 (0.00019),0.9538 (0.00160),0.9708 (0.00203),0.9252 (0.00057)
n_estimators20 max_depth5 min_samples_leaf2 min_samples_split2 bootstrapTrue,0.9678 (0.00146),0.9676 (0.00148),0.9618 (0.00345),0.9736 (0.00290),0.9357 (0.00289),0.9614 (0.00203),0.9612 (0.00199),0.9576 (0.00271),0.9649 (0.00412),0.9228 (0.00407),0.9604 (0.00149),0.9601 (0.00146),0.9528 (0.00296),0.9676 (0.00377),0.9210 (0.00301)
n_estimators20 max_depth5 min_samples_leaf2 min_samples_split3 bootstrapFalse,0.9695 (0.00162),0.9693 (0.00165),0.9621 (0.00211),0.9766 (0.00141),0.9392 (0.00323),0.9615 (0.00088),0.9613 (0.00086),0.9554 (0.00028),0.9672 (0.00154),0.9231 (0.00177),0.9625 (0.00025),0.9622 (0.00019),0.9538 (0.00160),0.9708 (0.00203),0.9252 (0.00057)
n_estimators20 max_depth5 min_samples_leaf2 min_samples_split3 bootstrapTrue,0.9677 (0.00160),0.9675 (0.00162),0.9621 (0.00282),0.9730 (0.00239),0.9355 (0.00319),0.9624 (0.00224),0.9623 (0.00223),0.9587 (0.00368),0.9659 (0.00397),0.9249 (0.00447),0.9608 (0.00187),0.9605 (0.00187),0.9532 (0.00285),0.9679 (0.00346),0.9217 (0.00376)
n_estimators20 max_depth5 min_samples_leaf2 min_samples_split5 bootstrapFalse,0.9690 (0.00134),0.9688 (0.00139),0.9626 (0.00253),0.9751 (0.00062),0.9382 (0.00265),0.9608 (0.00092),0.9606 (0.00094),0.9545 (0.00157),0.9668 (0.00125),0.9217 (0.00184),0.9621 (0.00031),0.9617 (0.00028),0.9539 (0.00098),0.9698 (0.00134),0.9243 (0.00064)
n_estimators20 max_depth5 min_samples_leaf2 min_samples_split5 bootstrapTrue,0.9680 (0.00142),0.9678 (0.00143),0.9624 (0.00266),0.9732 (0.00260),0.9360 (0.00284),0.9615 (0.00186),0.9614 (0.00183),0.9582 (0.00298),0.9646 (0.00393),0.9231 (0.00373),0.9612 (0.00117),0.9609 (0.00116),0.9537 (0.00279),0.9683 (0.00326),0.9225 (0.00237)
n_estimators20 max_depth5 min_samples_leaf5 min_samples_split2 bootstrapFalse,0.9689 (0.00067),0.9687 (0.00069),0.9630 (0.00136),0.9745 (0.00036),0.9379 (0.00133),0.9613 (0.00115),0.9611 (0.00124),0.9560 (0.00391),0.9662 (0.00235),0.9227 (0.00226),0.9614 (0.00028),0.9611 (0.00023),0.9525 (0.00120),0.9698 (0.00171),0.9230 (0.00061)
n_estimators20 max_depth5 min_samples_leaf5 min_samples_split2 bootstrapTrue,0.9675 (0.00180),0.9673 (0.00181),0.9619 (0.00271),0.9727 (0.00275),0.9350 (0.00360),0.9618 (0.00183),0.9617 (0.00183),0.9586 (0.00305),0.9648 (0.00320),0.9237 (0.00366),0.9609 (0.00120),0.9606 (0.00118),0.9533 (0.00242),0.9681 (0.00300),0.9219 (0.00242)
n_estimators20 max_depth5 min_samples_leaf5 min_samples_split3 bootstrapFalse,0.9689 (0.00067),0.9687 (0.00069),0.9630 (0.00136),0.9745 (0.00036),0.9379 (0.00133),0.9613 (0.00115),0.9611 (0.00124),0.9560 (0.00391),0.9662 (0.00235),0.9227 (0.00226),0.9614 (0.00028),0.9611 (0.00023),0.9525 (0.00120),0.9698 (0.00171),0.9230 (0.00061)
n_estimators20 max_depth5 min_samples_leaf5 min_samples_split3 bootstrapTrue,0.9673 (0.00197),0.9672 (0.00196),0.9622 (0.00249),0.9722 (0.00319),0.9347 (0.00395),0.9621 (0.00130),0.9620 (0.00131),0.9588 (0.00276),0.9652 (0.00259),0.9242 (0.00259),0.9608 (0.00159),0.9605 (0.00158),0.9534 (0.00269),0.9678 (0.00338),0.9217 (0.00321)
n_estimators20 max_depth5 min_samples_leaf5 min_samples_split5 bootstrapFalse,0.9689 (0.00067),0.9687 (0.00069),0.9630 (0.00136),0.9745 (0.00036),0.9379 (0.00133),0.9613 (0.00115),0.9611 (0.00124),0.9560 (0.00391),0.9662 (0.00235),0.9227 (0.00226),0.9614 (0.00028),0.9611 (0.00023),0.9525 (0.00120),0.9698 (0.00171),0.9230 (0.00061)
n_estimators20 max_depth5 min_samples_leaf5 min_samples_split5 bootstrapTrue,0.9674 (0.00158),0.9672 (0.00159),0.9614 (0.00250),0.9731 (0.00246),0.9349 (0.00317),0.9617 (0.00207),0.9615 (0.00209),0.9578 (0.00377),0.9652 (0.00331),0.9234 (0.00413),0.9608 (0.00193),0.9604 (0.00192),0.9524 (0.00252),0.9687 (0.00333),0.9217 (0.00387)
n_estimators20 max_depth8 min_samples_leaf1 min_samples_split2 bootstrapFalse,0.9891 (0.00021),0.9891 (0.00021),0.9852 (0.00014),0.9930 (0.00051),0.9783 (0.00043),0.9674 (0.00149),0.9674 (0.00149),0.9678 (0.00258),0.9670 (0.00235),0.9348 (0.00298),0.9664 (0.00037),0.9663 (0.00038),0.9629 (0.00162),0.9697 (0.00152),0.9328 (0.00074)
n_estimators20 max_depth8 min_samples_leaf1 min_samples_split2 bootstrapTrue,0.9862 (0.00085),0.9861 (0.00086),0.9820 (0.00132),0.9903 (0.00115),0.9724 (0.00170),0.9672 (0.00136),0.9672 (0.00134),0.9666 (0.00230),0.9677 (0.00298),0.9344 (0.00272),0.9655 (0.00138),0.9654 (0.00138),0.9616 (0.00269),0.9692 (0.00270),0.9311 (0.00276)
n_estimators20 max_depth8 min_samples_leaf1 min_samples_split3 bootstrapFalse,0.9899 (0.00042),0.9898 (0.00043),0.9864 (0.00123),0.9933 (0.00074),0.9798 (0.00084),0.9679 (0.00134),0.9679 (0.00127),0.9682 (0.00220),0.9676 (0.00388),0.9358 (0.00267),0.9659 (0.00055),0.9659 (0.00054),0.9633 (0.00042),0.9684 (0.00077),0.9319 (0.00110)
n_estimators20 max_depth8 min_samples_leaf1 min_samples_split3 bootstrapTrue,0.9859 (0.00087),0.9859 (0.00087),0.9821 (0.00151),0.9897 (0.00120),0.9719 (0.00173),0.9674 (0.00183),0.9674 (0.00183),0.9670 (0.00289),0.9679 (0.00292),0.9349 (0.00366),0.9655 (0.00143),0.9654 (0.00143),0.9618 (0.00213),0.9690 (0.00233),0.9311 (0.00287)
n_estimators20 max_depth8 min_samples_leaf1 min_samples_split5 bootstrapFalse,0.9884 (0.00049),0.9883 (0.00050),0.9843 (0.00125),0.9924 (0.00036),0.9768 (0.00096),0.9673 (0.00143),0.9673 (0.00141),0.9674 (0.00225),0.9672 (0.00283),0.9346 (0.00285),0.9665 (0.00073),0.9664 (0.00080),0.9636 (0.00328),0.9692 (0.00219),0.9330 (0.00144)
n_estimators20 max_depth8 min_samples_leaf1 min_samples_split5 bootstrapTrue,0.9853 (0.00094),0.9852 (0.00095),0.9817 (0.00185),0.9888 (0.00130),0.9706 (0.00187),0.9675 (0.00140),0.9675 (0.00139),0.9670 (0.00284),0.9679 (0.00301),0.9350 (0.00280),0.9656 (0.00129),0.9654 (0.00132),0.9617 (0.00296),0.9692 (0.00218),0.9312 (0.00256)
n_estimators20 max_depth8 min_samples_leaf2 min_samples_split2 bootstrapFalse,0.9875 (0.00049),0.9875 (0.00052),0.9836 (0.00254),0.9914 (0.00154),0.9751 (0.00096),0.9682 (0.00061),0.9682 (0.00061),0.9674 (0.00101),0.9689 (0.00124),0.9364 (0.00123),0.9661 (0.00053),0.9660 (0.00047),0.9625 (0.00143),0.9696 (0.00236),0.9323 (0.00108)
n_estimators20 max_depth8 min_samples_leaf2 min_samples_split2 bootstrapTrue,0.9844 (0.00101),0.9844 (0.00102),0.9811 (0.00178),0.9876 (0.00122),0.9689 (0.00201),0.9671 (0.00144),0.9671 (0.00144),0.9669 (0.00257),0.9672 (0.00267),0.9341 (0.00288),0.9654 (0.00126),0.9653 (0.00127),0.9616 (0.00224),0.9690 (0.00214),0.9309 (0.00251)
n_estimators20 max_depth8 min_samples_leaf2 min_samples_split3 bootstrapFalse,0.9875 (0.00049),0.9875 (0.00052),0.9836 (0.00254),0.9914 (0.00154),0.9751 (0.00096),0.9682 (0.00061),0.9682 (0.00061),0.9674 (0.00101),0.9689 (0.00124),0.9364 (0.00123),0.9661 (0.00053),0.9660 (0.00047),0.9625 (0.00143),0.9696 (0.00236),0.9323 (0.00108)
n_estimators20 max_depth8 min_samples_leaf2 min_samples_split3 bootstrapTrue,0.9845 (0.00096),0.9845 (0.00097),0.9809 (0.00180),0.9881 (0.00143),0.9691 (0.00191),0.9675 (0.00172),0.9675 (0.00171),0.9669 (0.00221),0.9682 (0.00291),0.9351 (0.00345),0.9657 (0.00101),0.9656 (0.00102),0.9620 (0.00217),0.9693 (0.00218),0.9315 (0.00203)
n_estimators20 max_depth8 min_samples_leaf2 min_samples_split5 bootstrapFalse,0.9875 (0.00069),0.9875 (0.00071),0.9825 (0.00197),0.9925 (0.00087),0.9751 (0.00136),0.9682 (0.00113),0.9682 (0.00110),0.9676 (0.00101),0.9687 (0.00213),0.9364 (0.00225),0.9665 (0.00051),0.9663 (0.00043),0.9623 (0.00260),0.9704 (0.00325),0.9330 (0.00105)
n_estimators20 max_depth8 min_samples_leaf2 min_samples_split5 bootstrapTrue,0.9842 (0.00093),0.9841 (0.00093),0.9810 (0.00167),0.9873 (0.00155),0.9684 (0.00185),0.9669 (0.00197),0.9669 (0.00199),0.9664 (0.00329),0.9674 (0.00264),0.9338 (0.00393),0.9655 (0.00128),0.9654 (0.00129),0.9617 (0.00220),0.9691 (0.00199),0.9311 (0.00256)
n_estimators20 max_depth8 min_samples_leaf5 min_samples_split2 bootstrapFalse,0.9854 (0.00021),0.9854 (0.00022),0.9829 (0.00085),0.9878 (0.00049),0.9708 (0.00042),0.9690 (0.00084),0.9690 (0.00081),0.9710 (0.00074),0.9671 (0.00188),0.9380 (0.00168),0.9669 (0.00061),0.9668 (0.00055),0.9629 (0.00149),0.9707 (0.00258),0.9339 (0.00126)
n_estimators20 max_depth8 min_samples_leaf5 min_samples_split2 bootstrapTrue,0.9806 (0.00110),0.9806 (0.00110),0.9785 (0.00162),0.9827 (0.00167),0.9613 (0.00220),0.9671 (0.00164),0.9671 (0.00160),0.9672 (0.00208),0.9671 (0.00340),0.9342 (0.00328),0.9658 (0.00126),0.9657 (0.00126),0.9626 (0.00203),0.9688 (0.00197),0.9316 (0.00251)
n_estimators20 max_depth8 min_samples_leaf5 min_samples_split3 bootstrapFalse,0.9854 (0.00021),0.9854 (0.00022),0.9829 (0.00085),0.9878 (0.00049),0.9708 (0.00042),0.9690 (0.00084),0.9690 (0.00081),0.9710 (0.00074),0.9671 (0.00188),0.9380 (0.00168),0.9669 (0.00061),0.9668 (0.00055),0.9629 (0.00149),0.9707 (0.00258),0.9339 (0.00126)
