,train_ACC,train_F1,train_Recall,train_Pre,train_MCC,val_ACC,val_F1,val_Recall,val_Pre,val_MCC,test_ACC,test_F1,test_Recall,test_Pre,test_MCC
n_estimators2000 max_depth5 min_samples_leaf2 min_samples_split3 bootstrapFalse,0.9573 (0.00126),0.9573 (0.00125),0.9563 (0.00202),0.9583 (0.00215),0.9147 (0.00252),0.9534 (0.00147),0.9534 (0.00139),0.9543 (0.00150),0.9526 (0.00331),0.9068 (0.00293),0.9519 (0.00108),0.9518 (0.00104),0.9506 (0.00051),0.9531 (0.00177),0.9038 (0.00216)
n_estimators2000 max_depth5 min_samples_leaf2 min_samples_split3 bootstrapTrue,0.9576 (0.00103),0.9575 (0.00103),0.9558 (0.00209),0.9592 (0.00207),0.9152 (0.00205),0.9541 (0.00103),0.9541 (0.00098),0.9548 (0.00241),0.9534 (0.00309),0.9081 (0.00206),0.9527 (0.00048),0.9526 (0.00046),0.9515 (0.00087),0.9537 (0.00131),0.9053 (0.00097)
n_estimators2000 max_depth5 min_samples_leaf2 min_samples_split5 bootstrapFalse,0.9572 (0.00129),0.9572 (0.00128),0.9560 (0.00195),0.9583 (0.00223),0.9144 (0.00258),0.9534 (0.00135),0.9534 (0.00128),0.9543 (0.00150),0.9526 (0.00308),0.9068 (0.00270),0.9520 (0.00089),0.9519 (0.00085),0.9508 (0.00014),0.9530 (0.00163),0.9040 (0.00179)
n_estimators2000 max_depth5 min_samples_leaf2 min_samples_split5 bootstrapTrue,0.9577 (0.00111),0.9576 (0.00111),0.9560 (0.00207),0.9592 (0.00195),0.9153 (0.00222),0.9540 (0.00093),0.9540 (0.00088),0.9548 (0.00228),0.9533 (0.00285),0.9080 (0.00185),0.9527 (0.00054),0.9526 (0.00052),0.9515 (0.00096),0.9538 (0.00136),0.9054 (0.00108)
n_estimators2000 max_depth5 min_samples_leaf5 min_samples_split2 bootstrapFalse,0.9572 (0.00118),0.9571 (0.00117),0.9557 (0.00183),0.9585 (0.00215),0.9143 (0.00235),0.9536 (0.00111),0.9537 (0.00105),0.9543 (0.00150),0.9531 (0.00277),0.9073 (0.00223),0.9520 (0.00094),0.9519 (0.00092),0.9505 (0.00076),0.9533 (0.00153),0.9040 (0.00188)
n_estimators2000 max_depth5 min_samples_leaf5 min_samples_split2 bootstrapTrue,0.9574 (0.00100),0.9573 (0.00101),0.9558 (0.00202),0.9589 (0.00183),0.9148 (0.00200),0.9540 (0.00090),0.9541 (0.00085),0.9548 (0.00226),0.9533 (0.00283),0.9081 (0.00179),0.9527 (0.00046),0.9526 (0.00044),0.9516 (0.00088),0.9537 (0.00124),0.9054 (0.00093)
n_estimators2000 max_depth5 min_samples_leaf5 min_samples_split3 bootstrapFalse,0.9572 (0.00118),0.9571 (0.00117),0.9557 (0.00183),0.9585 (0.00215),0.9143 (0.00235),0.9536 (0.00111),0.9537 (0.00105),0.9543 (0.00150),0.9531 (0.00277),0.9073 (0.00223),0.9520 (0.00094),0.9519 (0.00092),0.9505 (0.00076),0.9533 (0.00153),0.9040 (0.00188)
n_estimators2000 max_depth5 min_samples_leaf5 min_samples_split3 bootstrapTrue,0.9574 (0.00109),0.9574 (0.00111),0.9560 (0.00216),0.9588 (0.00170),0.9149 (0.00218),0.9541 (0.00096),0.9541 (0.00092),0.9550 (0.00237),0.9532 (0.00283),0.9081 (0.00192),0.9526 (0.00048),0.9526 (0.00045),0.9516 (0.00096),0.9535 (0.00131),0.9052 (0.00095)
n_estimators2000 max_depth5 min_samples_leaf5 min_samples_split5 bootstrapFalse,0.9572 (0.00118),0.9571 (0.00117),0.9557 (0.00183),0.9585 (0.00215),0.9143 (0.00235),0.9536 (0.00111),0.9537 (0.00105),0.9543 (0.00150),0.9531 (0.00277),0.9073 (0.00223),0.9520 (0.00094),0.9519 (0.00092),0.9505 (0.00076),0.9533 (0.00153),0.9040 (0.00188)
n_estimators2000 max_depth5 min_samples_leaf5 min_samples_split5 bootstrapTrue,0.9573 (0.00105),0.9573 (0.00106),0.9558 (0.00197),0.9588 (0.00172),0.9147 (0.00211),0.9540 (0.00101),0.9540 (0.00097),0.9549 (0.00237),0.9533 (0.00281),0.9080 (0.00201),0.9526 (0.00048),0.9526 (0.00046),0.9516 (0.00085),0.9536 (0.00124),0.9053 (0.00096)
n_estimators2000 max_depth8 min_samples_leaf1 min_samples_split2 bootstrapFalse,0.9766 (0.00088),0.9765 (0.00087),0.9751 (0.00066),0.9779 (0.00125),0.9531 (0.00176),0.9608 (0.00058),0.9609 (0.00053),0.9653 (0.00223),0.9566 (0.00257),0.9216 (0.00114),0.9601 (0.00029),0.9602 (0.00029),0.9630 (0.00057),0.9574 (0.00054),0.9202 (0.00057)
n_estimators2000 max_depth8 min_samples_leaf1 min_samples_split2 bootstrapTrue,0.9740 (0.00072),0.9740 (0.00070),0.9739 (0.00081),0.9741 (0.00155),0.9481 (0.00143),0.9604 (0.00048),0.9605 (0.00048),0.9649 (0.00248),0.9562 (0.00238),0.9208 (0.00096),0.9597 (0.00029),0.9598 (0.00028),0.9631 (0.00057),0.9565 (0.00077),0.9194 (0.00059)
n_estimators2000 max_depth8 min_samples_leaf1 min_samples_split3 bootstrapFalse,0.9763 (0.00095),0.9763 (0.00095),0.9752 (0.00105),0.9773 (0.00115),0.9526 (0.00189),0.9608 (0.00047),0.9610 (0.00039),0.9657 (0.00161),0.9563 (0.00234),0.9217 (0.00092),0.9601 (0.00004),0.9602 (0.00005),0.9629 (0.00038),0.9575 (0.00028),0.9201 (0.00008)
n_estimators2000 max_depth8 min_samples_leaf1 min_samples_split3 bootstrapTrue,0.9740 (0.00070),0.9740 (0.00068),0.9739 (0.00068),0.9740 (0.00151),0.9479 (0.00139),0.9602 (0.00046),0.9604 (0.00045),0.9648 (0.00256),0.9561 (0.00248),0.9205 (0.00091),0.9596 (0.00034),0.9598 (0.00033),0.9631 (0.00067),0.9564 (0.00077),0.9192 (0.00067)
n_estimators2000 max_depth8 min_samples_leaf1 min_samples_split5 bootstrapFalse,0.9760 (0.00083),0.9760 (0.00082),0.9749 (0.00062),0.9770 (0.00126),0.9520 (0.00166),0.9606 (0.00095),0.9608 (0.00091),0.9656 (0.00230),0.9561 (0.00283),0.9214 (0.00188),0.9599 (0.00019),0.9600 (0.00017),0.9630 (0.00047),0.9571 (0.00077),0.9198 (0.00038)
n_estimators2000 max_depth8 min_samples_leaf1 min_samples_split5 bootstrapTrue,0.9736 (0.00078),0.9736 (0.00076),0.9738 (0.00077),0.9733 (0.00157),0.9471 (0.00156),0.9604 (0.00050),0.9606 (0.00048),0.9651 (0.00259),0.9562 (0.00263),0.9209 (0.00099),0.9596 (0.00031),0.9597 (0.00030),0.9631 (0.00055),0.9564 (0.00076),0.9192 (0.00062)
n_estimators2000 max_depth8 min_samples_leaf2 min_samples_split2 bootstrapFalse,0.9755 (0.00088),0.9755 (0.00088),0.9745 (0.00069),0.9765 (0.00122),0.9510 (0.00177),0.9608 (0.00051),0.9609 (0.00048),0.9651 (0.00246),0.9568 (0.00256),0.9215 (0.00100),0.9598 (0.00019),0.9599 (0.00017),0.9623 (0.00036),0.9575 (0.00065),0.9197 (0.00038)
n_estimators2000 max_depth8 min_samples_leaf2 min_samples_split2 bootstrapTrue,0.9732 (0.00075),0.9732 (0.00074),0.9734 (0.00072),0.9729 (0.00142),0.9463 (0.00151),0.9603 (0.00048),0.9605 (0.00051),0.9650 (0.00278),0.9561 (0.00239),0.9207 (0.00097),0.9596 (0.00026),0.9597 (0.00025),0.9630 (0.00062),0.9564 (0.00072),0.9191 (0.00051)
n_estimators2000 max_depth8 min_samples_leaf2 min_samples_split3 bootstrapFalse,0.9755 (0.00088),0.9755 (0.00088),0.9745 (0.00069),0.9765 (0.00122),0.9510 (0.00177),0.9608 (0.00051),0.9609 (0.00048),0.9651 (0.00246),0.9568 (0.00256),0.9215 (0.00100),0.9598 (0.00019),0.9599 (0.00017),0.9623 (0.00036),0.9575 (0.00065),0.9197 (0.00038)
n_estimators2000 max_depth8 min_samples_leaf2 min_samples_split3 bootstrapTrue,0.9732 (0.00070),0.9732 (0.00069),0.9736 (0.00074),0.9729 (0.00137),0.9465 (0.00140),0.9603 (0.00053),0.9605 (0.00055),0.9650 (0.00271),0.9560 (0.00240),0.9207 (0.00107),0.9596 (0.00033),0.9598 (0.00031),0.9631 (0.00061),0.9565 (0.00083),0.9193 (0.00065)
n_estimators2000 max_depth8 min_samples_leaf2 min_samples_split5 bootstrapFalse,0.9756 (0.00086),0.9756 (0.00084),0.9747 (0.00045),0.9764 (0.00136),0.9511 (0.00171),0.9608 (0.00073),0.9610 (0.00069),0.9656 (0.00219),0.9564 (0.00268),0.9217 (0.00145),0.9600 (0.00019),0.9601 (0.00017),0.9632 (0.00043),0.9570 (0.00075),0.9199 (0.00038)
n_estimators2000 max_depth8 min_samples_leaf2 min_samples_split5 bootstrapTrue,0.9732 (0.00076),0.9732 (0.00075),0.9736 (0.00075),0.9728 (0.00150),0.9464 (0.00153),0.9603 (0.00041),0.9605 (0.00039),0.9652 (0.00247),0.9559 (0.00243),0.9207 (0.00080),0.9596 (0.00029),0.9598 (0.00028),0.9632 (0.00065),0.9564 (0.00078),0.9193 (0.00058)
n_estimators2000 max_depth8 min_samples_leaf5 min_samples_split2 bootstrapFalse,0.9738 (0.00072),0.9738 (0.00072),0.9739 (0.00063),0.9738 (0.00105),0.9477 (0.00144),0.9606 (0.00032),0.9608 (0.00032),0.9656 (0.00196),0.9560 (0.00177),0.9212 (0.00063),0.9597 (0.00013),0.9598 (0.00014),0.9631 (0.00038),0.9565 (0.00019),0.9194 (0.00026)
n_estimators2000 max_depth8 min_samples_leaf5 min_samples_split2 bootstrapTrue,0.9710 (0.00089),0.9711 (0.00088),0.9725 (0.00112),0.9697 (0.00142),0.9421 (0.00177),0.9600 (0.00043),0.9602 (0.00043),0.9651 (0.00274),0.9554 (0.00256),0.9200 (0.00085),0.9594 (0.00024),0.9595 (0.00024),0.9631 (0.00070),0.9560 (0.00069),0.9187 (0.00048)
n_estimators2000 max_depth8 min_samples_leaf5 min_samples_split3 bootstrapFalse,0.9738 (0.00072),0.9738 (0.00072),0.9739 (0.00063),0.9738 (0.00105),0.9477 (0.00144),0.9606 (0.00032),0.9608 (0.00032),0.9656 (0.00196),0.9560 (0.00177),0.9212 (0.00063),0.9597 (0.00013),0.9598 (0.00014),0.9631 (0.00038),0.9565 (0.00019),0.9194 (0.00026)
n_estimators2000 max_depth8 min_samples_leaf5 min_samples_split3 bootstrapTrue,0.9710 (0.00087),0.9711 (0.00086),0.9726 (0.00110),0.9696 (0.00141),0.9421 (0.00174),0.9601 (0.00041),0.9603 (0.00044),0.9650 (0.00279),0.9556 (0.00246),0.9202 (0.00083),0.9594 (0.00026),0.9596 (0.00026),0.9631 (0.00069),0.9560 (0.00064),0.9188 (0.00052)
n_estimators2000 max_depth8 min_samples_leaf5 min_samples_split5 bootstrapFalse,0.9738 (0.00072),0.9738 (0.00072),0.9739 (0.00063),0.9738 (0.00105),0.9477 (0.00144),0.9606 (0.00032),0.9608 (0.00032),0.9656 (0.00196),0.9560 (0.00177),0.9212 (0.00063),0.9597 (0.00013),0.9598 (0.00014),0.9631 (0.00038),0.9565 (0.00019),0.9194 (0.00026)
n_estimators2000 max_depth8 min_samples_leaf5 min_samples_split5 bootstrapTrue,0.9711 (0.00085),0.9711 (0.00084),0.9726 (0.00100),0.9696 (0.00135),0.9422 (0.00169),0.9600 (0.00040),0.9602 (0.00040),0.9650 (0.00278),0.9555 (0.00262),0.9200 (0.00079),0.9594 (0.00030),0.9595 (0.00030),0.9630 (0.00068),0.9561 (0.00076),0.9188 (0.00060)
n_estimators200 max_depth10 min_samples_leaf1 min_samples_split2 bootstrapFalse,0.9896 (0.00047),0.9896 (0.00048),0.9858 (0.00085),0.9934 (0.00019),0.9793 (0.00094),0.9637 (0.00019),0.9639 (0.00026),0.9688 (0.00247),0.9590 (0.00197),0.9274 (0.00041),0.9623 (0.00058),0.9625 (0.00058),0.9664 (0.00083),0.9586 (0.00083),0.9247 (0.00116)
n_estimators200 max_depth10 min_samples_leaf1 min_samples_split2 bootstrapTrue,0.9853 (0.00053),0.9852 (0.00053),0.9827 (0.00053),0.9878 (0.00083),0.9706 (0.00106),0.9621 (0.00099),0.9624 (0.00097),0.9678 (0.00210),0.9570 (0.00237),0.9244 (0.00197),0.9612 (0.00055),0.9614 (0.00054),0.9660 (0.00086),0.9568 (0.00108),0.9224 (0.00110)
n_estimators200 max_depth10 min_samples_leaf1 min_samples_split3 bootstrapFalse,0.9892 (0.00020),0.9892 (0.00020),0.9853 (0.00050),0.9931 (0.00031),0.9785 (0.00040),0.9632 (0.00063),0.9634 (0.00064),0.9671 (0.00189),0.9596 (0.00154),0.9264 (0.00127),0.9623 (0.00011),0.9625 (0.00013),0.9664 (0.00070),0.9586 (0.00045),0.9247 (0.00023)
n_estimators200 max_depth10 min_samples_leaf1 min_samples_split3 bootstrapTrue,0.9849 (0.00041),0.9848 (0.00041),0.9825 (0.00046),0.9872 (0.00061),0.9698 (0.00083),0.9622 (0.00068),0.9624 (0.00066),0.9677 (0.00218),0.9571 (0.00225),0.9245 (0.00134),0.9614 (0.00060),0.9615 (0.00059),0.9660 (0.00082),0.9572 (0.00106),0.9228 (0.00120)
n_estimators200 max_depth10 min_samples_leaf1 min_samples_split5 bootstrapFalse,0.9885 (0.00019),0.9885 (0.00019),0.9854 (0.00032),0.9917 (0.00037),0.9771 (0.00038),0.9636 (0.00051),0.9638 (0.00045),0.9694 (0.00161),0.9582 (0.00220),0.9272 (0.00098),0.9626 (0.00055),0.9627 (0.00054),0.9672 (0.00071),0.9583 (0.00092),0.9252 (0.00109)
n_estimators200 max_depth10 min_samples_leaf1 min_samples_split5 bootstrapTrue,0.9837 (0.00048),0.9837 (0.00048),0.9820 (0.00059),0.9853 (0.00060),0.9674 (0.00096),0.9623 (0.00080),0.9625 (0.00078),0.9677 (0.00230),0.9573 (0.00242),0.9246 (0.00159),0.9613 (0.00073),0.9615 (0.00072),0.9660 (0.00098),0.9571 (0.00119),0.9227 (0.00145)
n_estimators200 max_depth10 min_samples_leaf2 min_samples_split2 bootstrapFalse,0.9882 (0.00044),0.9881 (0.00045),0.9851 (0.00051),0.9912 (0.00045),0.9763 (0.00089),0.9633 (0.00111),0.9635 (0.00112),0.9689 (0.00322),0.9582 (0.00276),0.9267 (0.00223),0.9620 (0.00044),0.9621 (0.00045),0.9661 (0.00076),0.9582 (0.00042),0.9240 (0.00088)
n_estimators200 max_depth10 min_samples_leaf2 min_samples_split2 bootstrapTrue,0.9828 (0.00048),0.9828 (0.00047),0.9818 (0.00057),0.9839 (0.00069),0.9657 (0.00095),0.9622 (0.00073),0.9624 (0.00070),0.9682 (0.00216),0.9567 (0.00243),0.9244 (0.00145),0.9612 (0.00054),0.9613 (0.00053),0.9660 (0.00085),0.9567 (0.00095),0.9223 (0.00107)
n_estimators200 max_depth10 min_samples_leaf2 min_samples_split3 bootstrapFalse,0.9882 (0.00044),0.9881 (0.00045),0.9851 (0.00051),0.9912 (0.00045),0.9763 (0.00089),0.9633 (0.00111),0.9635 (0.00112),0.9689 (0.00322),0.9582 (0.00276),0.9267 (0.00223),0.9620 (0.00044),0.9621 (0.00045),0.9661 (0.00076),0.9582 (0.00042),0.9240 (0.00088)
n_estimators200 max_depth10 min_samples_leaf2 min_samples_split3 bootstrapTrue,0.9827 (0.00041),0.9826 (0.00041),0.9815 (0.00046),0.9838 (0.00064),0.9653 (0.00082),0.9623 (0.00075),0.9625 (0.00072),0.9680 (0.00183),0.9570 (0.00223),0.9246 (0.00148),0.9613 (0.00061),0.9615 (0.00060),0.9661 (0.00079),0.9569 (0.00120),0.9226 (0.00122)
n_estimators200 max_depth10 min_samples_leaf2 min_samples_split5 bootstrapFalse,0.9872 (0.00013),0.9872 (0.00013),0.9847 (0.00069),0.9897 (0.00056),0.9745 (0.00026),0.9632 (0.00022),0.9634 (0.00020),0.9692 (0.00153),0.9576 (0.00152),0.9264 (0.00043),0.9620 (0.00047),0.9622 (0.00049),0.9666 (0.00094),0.9579 (0.00004),0.9241 (0.00095)
n_estimators200 max_depth10 min_samples_leaf2 min_samples_split5 bootstrapTrue,0.9821 (0.00052),0.9821 (0.00052),0.9814 (0.00065),0.9829 (0.00067),0.9643 (0.00104),0.9621 (0.00091),0.9623 (0.00089),0.9679 (0.00220),0.9568 (0.00244),0.9243 (0.00181),0.9613 (0.00059),0.9614 (0.00058),0.9659 (0.00078),0.9570 (0.00098),0.9226 (0.00117)
n_estimators200 max_depth10 min_samples_leaf5 min_samples_split2 bootstrapFalse,0.9828 (0.00006),0.9828 (0.00007),0.9817 (0.00033),0.9839 (0.00021),0.9656 (0.00012),0.9619 (0.00019),0.9621 (0.00025),0.9682 (0.00216),0.9561 (0.00168),0.9238 (0.00041),0.9611 (0.00048),0.9613 (0.00050),0.9655 (0.00112),0.9571 (0.00039),0.9223 (0.00097)
n_estimators200 max_depth10 min_samples_leaf5 min_samples_split2 bootstrapTrue,0.9779 (0.00075),0.9779 (0.00073),0.9791 (0.00058),0.9767 (0.00145),0.9557 (0.00149),0.9617 (0.00077),0.9619 (0.00074),0.9680 (0.00204),0.9559 (0.00244),0.9234 (0.00153),0.9608 (0.00056),0.9610 (0.00055),0.9661 (0.00088),0.9560 (0.00084),0.9216 (0.00111)
n_estimators200 max_depth10 min_samples_leaf5 min_samples_split3 bootstrapFalse,0.9828 (0.00006),0.9828 (0.00007),0.9817 (0.00033),0.9839 (0.00021),0.9656 (0.00012),0.9619 (0.00019),0.9621 (0.00025),0.9682 (0.00216),0.9561 (0.00168),0.9238 (0.00041),0.9611 (0.00048),0.9613 (0.00050),0.9655 (0.00112),0.9571 (0.00039),0.9223 (0.00097)
n_estimators200 max_depth10 min_samples_leaf5 min_samples_split3 bootstrapTrue,0.9778 (0.00059),0.9778 (0.00058),0.9789 (0.00061),0.9768 (0.00113),0.9556 (0.00118),0.9619 (0.00074),0.9621 (0.00074),0.9682 (0.00237),0.9561 (0.00221),0.9238 (0.00148),0.9608 (0.00054),0.9610 (0.00053),0.9661 (0.00069),0.9559 (0.00093),0.9216 (0.00108)
n_estimators200 max_depth10 min_samples_leaf5 min_samples_split5 bootstrapFalse,0.9828 (0.00006),0.9828 (0.00007),0.9817 (0.00033),0.9839 (0.00021),0.9656 (0.00012),0.9619 (0.00019),0.9621 (0.00025),0.9682 (0.00216),0.9561 (0.00168),0.9238 (0.00041),0.9611 (0.00048),0.9613 (0.00050),0.9655 (0.00112),0.9571 (0.00039),0.9223 (0.00097)
n_estimators200 max_depth10 min_samples_leaf5 min_samples_split5 bootstrapTrue,0.9779 (0.00078),0.9779 (0.00077),0.9791 (0.00062),0.9767 (0.00125),0.9557 (0.00155),0.9617 (0.00073),0.9620 (0.00070),0.9682 (0.00230),0.9558 (0.00255),0.9235 (0.00144),0.9609 (0.00051),0.9611 (0.00051),0.9661 (0.00085),0.9562 (0.00084),0.9219 (0.00102)
n_estimators200 max_depth5 min_samples_leaf1 min_samples_split2 bootstrapFalse,0.9567 (0.00084),0.9567 (0.00084),0.9570 (0.00090),0.9564 (0.00097),0.9134 (0.00169),0.9533 (0.00157),0.9535 (0.00160),0.9564 (0.00320),0.9506 (0.00221),0.9067 (0.00315),0.9516 (0.00083),0.9517 (0.00084),0.9525 (0.00096),0.9509 (0.00072),0.9032 (0.00167)
n_estimators200 max_depth5 min_samples_leaf1 min_samples_split2 bootstrapTrue,0.9566 (0.00087),0.9566 (0.00090),0.9557 (0.00255),0.9575 (0.00197),0.9133 (0.00173),0.9531 (0.00156),0.9532 (0.00152),0.9547 (0.00232),0.9517 (0.00309),0.9062 (0.00311),0.9518 (0.00065),0.9517 (0.00067),0.9511 (0.00212),0.9523 (0.00186),0.9035 (0.00130)
n_estimators200 max_depth5 min_samples_leaf1 min_samples_split3 bootstrapFalse,0.9566 (0.00077),0.9566 (0.00077),0.9569 (0.00071),0.9563 (0.00096),0.9132 (0.00155),0.9533 (0.00151),0.9534 (0.00154),0.9565 (0.00334),0.9504 (0.00223),0.9066 (0.00303),0.9516 (0.00085),0.9516 (0.00085),0.9525 (0.00104),0.9508 (0.00076),0.9032 (0.00169)
n_estimators200 max_depth5 min_samples_leaf1 min_samples_split3 bootstrapTrue,0.9568 (0.00087),0.9567 (0.00088),0.9560 (0.00194),0.9575 (0.00177),0.9136 (0.00174),0.9531 (0.00117),0.9531 (0.00117),0.9546 (0.00249),0.9517 (0.00238),0.9061 (0.00234),0.9519 (0.00053),0.9519 (0.00052),0.9514 (0.00170),0.9524 (0.00175),0.9039 (0.00107)
n_estimators200 max_depth5 min_samples_leaf1 min_samples_split5 bootstrapFalse,0.9567 (0.00072),0.9568 (0.00072),0.9574 (0.00083),0.9561 (0.00078),0.9135 (0.00144),0.9533 (0.00138),0.9535 (0.00141),0.9563 (0.00331),0.9507 (0.00238),0.9067 (0.00277),0.9515 (0.00082),0.9516 (0.00083),0.9526 (0.00120),0.9506 (0.00068),0.9031 (0.00164)
n_estimators200 max_depth5 min_samples_leaf1 min_samples_split5 bootstrapTrue,0.9567 (0.00097),0.9566 (0.00097),0.9556 (0.00224),0.9577 (0.00219),0.9134 (0.00194),0.9532 (0.00140),0.9532 (0.00138),0.9544 (0.00255),0.9521 (0.00291),0.9064 (0.00281),0.9518 (0.00071),0.9518 (0.00070),0.9509 (0.00159),0.9526 (0.00177),0.9036 (0.00143)
n_estimators200 max_depth5 min_samples_leaf2 min_samples_split2 bootstrapFalse,0.9566 (0.00058),0.9566 (0.00061),0.9571 (0.00130),0.9561 (0.00008),0.9132 (0.00117),0.9533 (0.00120),0.9534 (0.00122),0.9561 (0.00205),0.9507 (0.00144),0.9066 (0.00241),0.9514 (0.00083),0.9515 (0.00085),0.9520 (0.00132),0.9509 (0.00084),0.9029 (0.00167)
n_estimators200 max_depth5 min_samples_leaf2 min_samples_split2 bootstrapTrue,0.9569 (0.00096),0.9569 (0.00098),0.9562 (0.00242),0.9576 (0.00195),0.9139 (0.00192),0.9532 (0.00130),0.9533 (0.00124),0.9548 (0.00214),0.9518 (0.00308),0.9065 (0.00259),0.9521 (0.00062),0.9520 (0.00060),0.9517 (0.00177),0.9524 (0.00193),0.9041 (0.00124)
n_estimators200 max_depth5 min_samples_leaf2 min_samples_split3 bootstrapFalse,0.9566 (0.00058),0.9566 (0.00061),0.9571 (0.00130),0.9561 (0.00008),0.9132 (0.00117),0.9533 (0.00120),0.9534 (0.00122),0.9561 (0.00205),0.9507 (0.00144),0.9066 (0.00241),0.9514 (0.00083),0.9515 (0.00085),0.9520 (0.00132),0.9509 (0.00084),0.9029 (0.00167)
n_estimators200 max_depth5 min_samples_leaf2 min_samples_split3 bootstrapTrue,0.9565 (0.00099),0.9565 (0.00102),0.9555 (0.00242),0.9574 (0.00179),0.9131 (0.00198),0.9532 (0.00150),0.9532 (0.00146),0.9545 (0.00240),0.9520 (0.00297),0.9064 (0.00299),0.9516 (0.00069),0.9516 (0.00068),0.9507 (0.00171),0.9525 (0.00178),0.9033 (0.00139)
n_estimators200 max_depth5 min_samples_leaf2 min_samples_split5 bootstrapFalse,0.9566 (0.00094),0.9567 (0.00095),0.9573 (0.00131),0.9560 (0.00065),0.9132 (0.00188),0.9534 (0.00113),0.9536 (0.00116),0.9563 (0.00266),0.9509 (0.00187),0.9069 (0.00227),0.9514 (0.00085),0.9514 (0.00087),0.9521 (0.00126),0.9507 (0.00048),0.9027 (0.00169)
n_estimators200 max_depth5 min_samples_leaf2 min_samples_split5 bootstrapTrue,0.9566 (0.00104),0.9565 (0.00105),0.9555 (0.00243),0.9576 (0.00212),0.9132 (0.00207),0.9532 (0.00123),0.9532 (0.00119),0.9545 (0.00269),0.9520 (0.00316),0.9064 (0.00245),0.9518 (0.00076),0.9518 (0.00076),0.9510 (0.00195),0.9526 (0.00191),0.9037 (0.00152)
n_estimators200 max_depth5 min_samples_leaf5 min_samples_split2 bootstrapFalse,0.9567 (0.00053),0.9567 (0.00052),0.9568 (0.00149),0.9566 (0.00151),0.9133 (0.00105),0.9532 (0.00152),0.9533 (0.00153),0.9555 (0.00276),0.9511 (0.00237),0.9064 (0.00304),0.9514 (0.00104),0.9514 (0.00101),0.9516 (0.00101),0.9512 (0.00176),0.9028 (0.00208)
n_estimators200 max_depth5 min_samples_leaf5 min_samples_split2 bootstrapTrue,0.9565 (0.00100),0.9565 (0.00104),0.9563 (0.00287),0.9568 (0.00201),0.9131 (0.00200),0.9528 (0.00128),0.9529 (0.00125),0.9547 (0.00222),0.9512 (0.00277),0.9057 (0.00256),0.9518 (0.00070),0.9518 (0.00069),0.9516 (0.00205),0.9520 (0.00209),0.9037 (0.00140)
n_estimators200 max_depth5 min_samples_leaf5 min_samples_split3 bootstrapFalse,0.9567 (0.00053),0.9567 (0.00052),0.9568 (0.00149),0.9566 (0.00151),0.9133 (0.00105),0.9532 (0.00152),0.9533 (0.00153),0.9555 (0.00276),0.9511 (0.00237),0.9064 (0.00304),0.9514 (0.00104),0.9514 (0.00101),0.9516 (0.00101),0.9512 (0.00176),0.9028 (0.00208)
n_estimators200 max_depth5 min_samples_leaf5 min_samples_split3 bootstrapTrue,0.9566 (0.00094),0.9566 (0.00094),0.9559 (0.00210),0.9573 (0.00205),0.9132 (0.00187),0.9529 (0.00147),0.9530 (0.00145),0.9545 (0.00245),0.9515 (0.00280),0.9058 (0.00294),0.9517 (0.00074),0.9517 (0.00071),0.9511 (0.00164),0.9523 (0.00200),0.9035 (0.00148)
n_estimators200 max_depth5 min_samples_leaf5 min_samples_split5 bootstrapFalse,0.9567 (0.00053),0.9567 (0.00052),0.9568 (0.00149),0.9566 (0.00151),0.9133 (0.00105),0.9532 (0.00152),0.9533 (0.00153),0.9555 (0.00276),0.9511 (0.00237),0.9064 (0.00304),0.9514 (0.00104),0.9514 (0.00101),0.9516 (0.00101),0.9512 (0.00176),0.9028 (0.00208)
n_estimators200 max_depth5 min_samples_leaf5 min_samples_split5 bootstrapTrue,0.9565 (0.00096),0.9565 (0.00098),0.9555 (0.00255),0.9575 (0.00207),0.9131 (0.00192),0.9530 (0.00123),0.9531 (0.00119),0.9543 (0.00206),0.9518 (0.00275),0.9060 (0.00245),0.9516 (0.00061),0.9516 (0.00062),0.9507 (0.00231),0.9525 (0.00215),0.9033 (0.00121)
n_estimators200 max_depth8 min_samples_leaf1 min_samples_split2 bootstrapFalse,0.9756 (0.00031),0.9756 (0.00031),0.9742 (0.00022),0.9769 (0.00045),0.9512 (0.00063),0.9604 (0.00036),0.9606 (0.00045),0.9655 (0.00275),0.9558 (0.00180),0.9209 (0.00076),0.9591 (0.00013),0.9592 (0.00015),0.9624 (0.00051),0.9561 (0.00022),0.9182 (0.00027)
n_estimators200 max_depth8 min_samples_leaf1 min_samples_split2 bootstrapTrue,0.9734 (0.00082),0.9734 (0.00081),0.9732 (0.00092),0.9735 (0.00147),0.9467 (0.00164),0.9598 (0.00099),0.9600 (0.00096),0.9644 (0.00229),0.9557 (0.00256),0.9197 (0.00196),0.9591 (0.00052),0.9592 (0.00051),0.9625 (0.00083),0.9559 (0.00105),0.9182 (0.00104)
n_estimators200 max_depth8 min_samples_leaf1 min_samples_split3 bootstrapFalse,0.9759 (0.00027),0.9759 (0.00027),0.9746 (0.00062),0.9772 (0.00056),0.9518 (0.00055),0.9603 (0.00063),0.9605 (0.00059),0.9648 (0.00088),0.9562 (0.00164),0.9206 (0.00125),0.9594 (0.00036),0.9595 (0.00037),0.9623 (0.00047),0.9567 (0.00027),0.9188 (0.00072)
