,train_ACC,train_F1,train_Recall,train_Pre,train_MCC,val_ACC,val_F1,val_Recall,val_Pre,val_MCC,test_ACC,test_F1,test_Recall,test_Pre,test_MCC
n_estimators20 max_depth8 min_samples_leaf5 min_samples_split5 bootstrapTrue,0.9677 (0.00111),0.9676 (0.00109),0.9675 (0.00245),0.9678 (0.00279),0.9353 (0.00221),0.9571 (0.00169),0.9572 (0.00165),0.9602 (0.00312),0.9542 (0.00373),0.9142 (0.00336),0.9560 (0.00124),0.9561 (0.00126),0.9577 (0.00324),0.9545 (0.00262),0.9121 (0.00247)
n_estimators500 max_depth10 min_samples_leaf1 min_samples_split2 bootstrapFalse,0.9898 (0.00051),0.9898 (0.00052),0.9860 (0.00088),0.9935 (0.00022),0.9796 (0.00102),0.9639 (0.00043),0.9641 (0.00047),0.9692 (0.00233),0.9591 (0.00176),0.9279 (0.00088),0.9630 (0.00047),0.9631 (0.00048),0.9668 (0.00082),0.9595 (0.00066),0.9260 (0.00095)
n_estimators500 max_depth10 min_samples_leaf1 min_samples_split2 bootstrapTrue,0.9857 (0.00035),0.9856 (0.00035),0.9830 (0.00032),0.9883 (0.00061),0.9714 (0.00070),0.9625 (0.00073),0.9627 (0.00070),0.9679 (0.00195),0.9576 (0.00232),0.9251 (0.00144),0.9617 (0.00053),0.9619 (0.00053),0.9662 (0.00077),0.9576 (0.00081),0.9234 (0.00106)
n_estimators500 max_depth10 min_samples_leaf1 min_samples_split3 bootstrapFalse,0.9894 (0.00055),0.9894 (0.00055),0.9857 (0.00095),0.9930 (0.00033),0.9788 (0.00109),0.9641 (0.00033),0.9642 (0.00024),0.9688 (0.00251),0.9598 (0.00289),0.9282 (0.00063),0.9625 (0.00039),0.9627 (0.00040),0.9666 (0.00069),0.9588 (0.00019),0.9251 (0.00079)
n_estimators500 max_depth10 min_samples_leaf1 min_samples_split3 bootstrapTrue,0.9852 (0.00029),0.9851 (0.00029),0.9828 (0.00035),0.9875 (0.00050),0.9703 (0.00058),0.9625 (0.00051),0.9627 (0.00046),0.9680 (0.00192),0.9575 (0.00228),0.9251 (0.00099),0.9616 (0.00051),0.9618 (0.00051),0.9660 (0.00080),0.9576 (0.00083),0.9232 (0.00103)
n_estimators500 max_depth10 min_samples_leaf1 min_samples_split5 bootstrapFalse,0.9887 (0.00050),0.9887 (0.00050),0.9854 (0.00088),0.9920 (0.00013),0.9775 (0.00099),0.9634 (0.00038),0.9636 (0.00031),0.9685 (0.00167),0.9588 (0.00225),0.9269 (0.00073),0.9626 (0.00068),0.9627 (0.00067),0.9664 (0.00083),0.9591 (0.00099),0.9252 (0.00135)
n_estimators500 max_depth10 min_samples_leaf1 min_samples_split5 bootstrapTrue,0.9839 (0.00036),0.9839 (0.00036),0.9823 (0.00039),0.9855 (0.00053),0.9678 (0.00072),0.9624 (0.00062),0.9626 (0.00060),0.9678 (0.00196),0.9576 (0.00211),0.9250 (0.00122),0.9617 (0.00043),0.9619 (0.00042),0.9663 (0.00071),0.9575 (0.00085),0.9234 (0.00085)
n_estimators500 max_depth10 min_samples_leaf2 min_samples_split2 bootstrapFalse,0.9883 (0.00047),0.9883 (0.00047),0.9854 (0.00025),0.9912 (0.00069),0.9766 (0.00094),0.9636 (0.00057),0.9637 (0.00055),0.9685 (0.00225),0.9591 (0.00232),0.9272 (0.00112),0.9628 (0.00041),0.9629 (0.00042),0.9665 (0.00083),0.9594 (0.00038),0.9256 (0.00082)
n_estimators500 max_depth10 min_samples_leaf2 min_samples_split2 bootstrapTrue,0.9831 (0.00045),0.9831 (0.00045),0.9819 (0.00050),0.9843 (0.00057),0.9662 (0.00090),0.9627 (0.00060),0.9629 (0.00058),0.9683 (0.00213),0.9575 (0.00220),0.9254 (0.00118),0.9616 (0.00042),0.9617 (0.00043),0.9662 (0.00079),0.9573 (0.00059),0.9232 (0.00085)
n_estimators500 max_depth10 min_samples_leaf2 min_samples_split3 bootstrapFalse,0.9883 (0.00047),0.9883 (0.00047),0.9854 (0.00025),0.9912 (0.00069),0.9766 (0.00094),0.9636 (0.00057),0.9637 (0.00055),0.9685 (0.00225),0.9591 (0.00232),0.9272 (0.00112),0.9628 (0.00041),0.9629 (0.00042),0.9665 (0.00083),0.9594 (0.00038),0.9256 (0.00082)
