n_estimators1000 max_depth8 min_samples_leaf1 min_samples_split2 bootstrapFalse,0.9945 (0.00026),0.9944 (0.00026),0.9916 (0.00039),0.9973 (0.00075),0.9889 (0.00052),0.9792 (0.00231),0.9793 (0.00232),0.9802 (0.00284),0.9783 (0.00257),0.9585 (0.00463),0.9762 (0.00097),0.9762 (0.00097),0.9755 (0.00158),0.9768 (0.00151),0.9524 (0.00194)
n_estimators1000 max_depth8 min_samples_leaf1 min_samples_split2 bootstrapTrue,0.9933 (0.00060),0.9932 (0.00060),0.9910 (0.00056),0.9955 (0.00090),0.9865 (0.00120),0.9781 (0.00274),0.9781 (0.00271),0.9789 (0.00236),0.9773 (0.00449),0.9562 (0.00549),0.9753 (0.00122),0.9753 (0.00120),0.9753 (0.00118),0.9753 (0.00235),0.9506 (0.00244)
n_estimators1000 max_depth8 min_samples_leaf1 min_samples_split3 bootstrapFalse,0.9944 (0.00020),0.9943 (0.00020),0.9915 (0.00026),0.9972 (0.00040),0.9887 (0.00040),0.9787 (0.00226),0.9787 (0.00223),0.9789 (0.00209),0.9785 (0.00366),0.9574 (0.00452),0.9759 (0.00120),0.9759 (0.00120),0.9750 (0.00157),0.9768 (0.00153),0.9518 (0.00240)
n_estimators1000 max_depth8 min_samples_leaf1 min_samples_split3 bootstrapTrue,0.9931 (0.00049),0.9931 (0.00049),0.9909 (0.00049),0.9952 (0.00079),0.9862 (0.00098),0.9781 (0.00278),0.9781 (0.00276),0.9792 (0.00256),0.9770 (0.00448),0.9562 (0.00557),0.9750 (0.00093),0.9750 (0.00090),0.9751 (0.00107),0.9750 (0.00226),0.9501 (0.00186)
n_estimators1000 max_depth8 min_samples_leaf1 min_samples_split5 bootstrapFalse,0.9938 (0.00013),0.9938 (0.00013),0.9911 (0.00000),0.9965 (0.00026),0.9877 (0.00026),0.9781 (0.00260),0.9781 (0.00257),0.9791 (0.00186),0.9771 (0.00388),0.9562 (0.00520),0.9754 (0.00111),0.9754 (0.00112),0.9748 (0.00172),0.9759 (0.00134),0.9508 (0.00223)
n_estimators1000 max_depth8 min_samples_leaf1 min_samples_split5 bootstrapTrue,0.9927 (0.00055),0.9927 (0.00055),0.9907 (0.00049),0.9948 (0.00094),0.9855 (0.00111),0.9780 (0.00278),0.9780 (0.00275),0.9791 (0.00245),0.9769 (0.00436),0.9559 (0.00555),0.9753 (0.00118),0.9753 (0.00115),0.9754 (0.00102),0.9753 (0.00264),0.9506 (0.00236)
n_estimators1000 max_depth8 min_samples_leaf2 min_samples_split2 bootstrapFalse,0.9939 (0.00054),0.9939 (0.00054),0.9911 (0.00026),0.9966 (0.00083),0.9878 (0.00108),0.9786 (0.00323),0.9786 (0.00321),0.9798 (0.00310),0.9775 (0.00433),0.9572 (0.00646),0.9760 (0.00162),0.9760 (0.00161),0.9756 (0.00181),0.9763 (0.00221),0.9519 (0.00324)
n_estimators1000 max_depth8 min_samples_leaf2 min_samples_split2 bootstrapTrue,0.9921 (0.00057),0.9921 (0.00057),0.9904 (0.00048),0.9939 (0.00112),0.9843 (0.00115),0.9779 (0.00272),0.9779 (0.00269),0.9789 (0.00251),0.9770 (0.00435),0.9558 (0.00543),0.9751 (0.00130),0.9751 (0.00127),0.9753 (0.00117),0.9750 (0.00261),0.9502 (0.00259)
n_estimators1000 max_depth8 min_samples_leaf2 min_samples_split3 bootstrapFalse,0.9939 (0.00054),0.9939 (0.00054),0.9911 (0.00026),0.9966 (0.00083),0.9878 (0.00108),0.9786 (0.00323),0.9786 (0.00321),0.9798 (0.00310),0.9775 (0.00433),0.9572 (0.00646),0.9760 (0.00162),0.9760 (0.00161),0.9756 (0.00181),0.9763 (0.00221),0.9519 (0.00324)
n_estimators1000 max_depth8 min_samples_leaf2 min_samples_split3 bootstrapTrue,0.9920 (0.00060),0.9920 (0.00060),0.9904 (0.00060),0.9937 (0.00109),0.9841 (0.00121),0.9778 (0.00286),0.9778 (0.00283),0.9787 (0.00246),0.9769 (0.00464),0.9556 (0.00572),0.9750 (0.00121),0.9750 (0.00118),0.9753 (0.00107),0.9748 (0.00261),0.9501 (0.00241)
n_estimators1000 max_depth8 min_samples_leaf2 min_samples_split5 bootstrapFalse,0.9936 (0.00037),0.9936 (0.00037),0.9911 (0.00026),0.9960 (0.00079),0.9872 (0.00075),0.9787 (0.00302),0.9787 (0.00300),0.9798 (0.00288),0.9777 (0.00423),0.9574 (0.00603),0.9765 (0.00086),0.9765 (0.00085),0.9761 (0.00122),0.9769 (0.00164),0.9530 (0.00172)
n_estimators1000 max_depth8 min_samples_leaf2 min_samples_split5 bootstrapTrue,0.9918 (0.00065),0.9918 (0.00065),0.9902 (0.00047),0.9934 (0.00120),0.9836 (0.00131),0.9778 (0.00261),0.9778 (0.00258),0.9789 (0.00237),0.9767 (0.00438),0.9555 (0.00522),0.9750 (0.00131),0.9750 (0.00128),0.9754 (0.00104),0.9746 (0.00261),0.9500 (0.00263)
n_estimators1000 max_depth8 min_samples_leaf5 min_samples_split2 bootstrapFalse,0.9909 (0.00052),0.9909 (0.00052),0.9892 (0.00052),0.9926 (0.00083),0.9819 (0.00104),0.9772 (0.00246),0.9773 (0.00245),0.9781 (0.00265),0.9764 (0.00356),0.9545 (0.00493),0.9750 (0.00138),0.9750 (0.00137),0.9747 (0.00118),0.9752 (0.00203),0.9499 (0.00276)
n_estimators1000 max_depth8 min_samples_leaf5 min_samples_split2 bootstrapTrue,0.9881 (0.00073),0.9881 (0.00072),0.9882 (0.00072),0.9880 (0.00134),0.9762 (0.00145),0.9773 (0.00235),0.9774 (0.00232),0.9788 (0.00247),0.9760 (0.00422),0.9547 (0.00471),0.9738 (0.00136),0.9738 (0.00132),0.9743 (0.00109),0.9732 (0.00279),0.9475 (0.00271)
n_estimators1000 max_depth8 min_samples_leaf5 min_samples_split3 bootstrapFalse,0.9909 (0.00052),0.9909 (0.00052),0.9892 (0.00052),0.9926 (0.00083),0.9819 (0.00104),0.9772 (0.00246),0.9773 (0.00245),0.9781 (0.00265),0.9764 (0.00356),0.9545 (0.00493),0.9750 (0.00138),0.9750 (0.00137),0.9747 (0.00118),0.9752 (0.00203),0.9499 (0.00276)
n_estimators1000 max_depth8 min_samples_leaf5 min_samples_split3 bootstrapTrue,0.9882 (0.00068),0.9882 (0.00067),0.9884 (0.00055),0.9881 (0.00128),0.9764 (0.00135),0.9773 (0.00237),0.9773 (0.00234),0.9788 (0.00245),0.9759 (0.00415),0.9545 (0.00474),0.9738 (0.00143),0.9738 (0.00140),0.9745 (0.00123),0.9732 (0.00267),0.9477 (0.00286)
n_estimators1000 max_depth8 min_samples_leaf5 min_samples_split5 bootstrapFalse,0.9909 (0.00052),0.9909 (0.00052),0.9892 (0.00052),0.9926 (0.00083),0.9819 (0.00104),0.9772 (0.00246),0.9773 (0.00245),0.9781 (0.00265),0.9764 (0.00356),0.9545 (0.00493),0.9750 (0.00138),0.9750 (0.00137),0.9747 (0.00118),0.9752 (0.00203),0.9499 (0.00276)
n_estimators1000 max_depth8 min_samples_leaf5 min_samples_split5 bootstrapTrue,0.9881 (0.00058),0.9881 (0.00058),0.9884 (0.00054),0.9879 (0.00129),0.9763 (0.00117),0.9774 (0.00249),0.9775 (0.00247),0.9790 (0.00247),0.9759 (0.00415),0.9549 (0.00498),0.9740 (0.00155),0.9740 (0.00153),0.9747 (0.00135),0.9734 (0.00276),0.9481 (0.00310)
n_estimators100 max_depth10 min_samples_leaf1 min_samples_split2 bootstrapFalse,0.9985 (0.00039),0.9985 (0.00040),0.9969 (0.00079),1.0000 (0.00000),0.9969 (0.00079),0.9819 (0.00220),0.9819 (0.00219),0.9827 (0.00260),0.9811 (0.00317),0.9637 (0.00440),0.9793 (0.00093),0.9793 (0.00092),0.9804 (0.00221),0.9782 (0.00252),0.9586 (0.00186)
n_estimators100 max_depth10 min_samples_leaf1 min_samples_split2 bootstrapTrue,0.9978 (0.00042),0.9978 (0.00043),0.9958 (0.00077),0.9998 (0.00022),0.9956 (0.00085),0.9802 (0.00246),0.9803 (0.00244),0.9821 (0.00284),0.9784 (0.00355),0.9605 (0.00491),0.9781 (0.00137),0.9781 (0.00137),0.9798 (0.00194),0.9764 (0.00191),0.9562 (0.00274)
n_estimators100 max_depth10 min_samples_leaf1 min_samples_split3 bootstrapFalse,0.9986 (0.00039),0.9986 (0.00039),0.9972 (0.00077),1.0000 (0.00000),0.9972 (0.00077),0.9818 (0.00245),0.9818 (0.00245),0.9823 (0.00273),0.9813 (0.00339),0.9635 (0.00491),0.9792 (0.00078),0.9793 (0.00077),0.9813 (0.00211),0.9772 (0.00224),0.9585 (0.00155)
